Bit Map,PowerDiff,MaxPhaseShift,AmplitudeShiftAbsolute,AmplitudeShiftRatio,PowerDiffFlag,ErgFallFlag,PhaseShiftFlag,AmpChangeFlag
1162.005615,5.000000,102.484237,837.541259,24.111513,Pass,Fail,Pass,Fail
1154.151245,13.000000,105.011688,1180.070800,30.686021,Pass,Fail,Pass,Pass
1179.061523,5.000000,104.834365,872.822265,24.609464,Pass,Fail,Pass,Fail
1122.427490,13.000000,104.298889,5854.356445,68.946899,Pass,Fail,Pass,Pass
1132.924682,13.000000,104.728729,4669.757812,63.361267,Pass,Fail,Pass,Pass
1080.702880,13.000000,102.000587,6271.593750,67.377441,Pass,Fail,Pass,Pass
2996.375244,13.000000,103.515235,4428.932617,62.572479,Pass,Fail,Pass,Pass
2904.888183,13.000000,105.858345,2771.382568,50.073936,Pass,Fail,Pass,Pass
2934.724121,13.000000,102.177558,3863.881347,57.813636,Pass,Fail,Pass,Pass
2953.691162,13.000000,103.221473,5929.379882,68.660156,Pass,Fail,Pass,Pass
2977.021484,13.000000,104.490676,5158.333007,65.055747,Pass,Fail,Pass,Pass
2898.809814,13.000000,103.822380,4849.666503,64.409019,Pass,Fail,Pass,Pass
5339.920898,13.000000,104.863441,2543.027587,48.640544,Pass,Fail,Pass,Pass
5263.431640,13.000000,104.993667,2618.434570,48.828426,Pass,Fail,Pass,Pass
5358.892578,13.000000,103.172164,3391.994628,56.573711,Pass,Fail,Pass,Pass
5317.157714,13.000000,104.259681,5103.187500,65.497383,Pass,Fail,Pass,Pass
5387.376953,13.000000,103.607177,2359.548583,46.997093,Pass,Fail,Pass,Pass
5390.421386,13.000000,102.434837,3422.996582,56.468936,Pass,Fail,Pass,Pass